tau,core,arm,false_flag_fraction,sd
0.0001,Allegro,O(3),0.000500,0.000000
0.0001,Allegro,SO(3),0.916833,0.000289
0.0001,EquiformerV2,SO(3),0.996833,0.000764
0.0001,MACE,O(3),0.000667,0.000289
0.0001,MACE,SO(3),0.916833,0.000289
0.0001,NequIP,O(3),0.000500,0.000000
0.0001,NequIP,SO(3),0.917000,0.000000
0.00014678,Allegro,O(3),0.000500,0.000000
0.00014678,Allegro,SO(3),0.916833,0.000289
0.00014678,EquiformerV2,SO(3),0.996833,0.000764
0.00014678,MACE,O(3),0.000500,0.000000
0.00014678,MACE,SO(3),0.916667,0.000289
0.00014678,NequIP,O(3),0.000500,0.000000
0.00014678,NequIP,SO(3),0.917000,0.000000
0.000215443,Allegro,O(3),0.000500,0.000000
0.000215443,Allegro,SO(3),0.916500,0.000500
0.000215443,EquiformerV2,SO(3),0.996333,0.000289
0.000215443,MACE,O(3),0.000500,0.000000
0.000215443,MACE,SO(3),0.916333,0.000289
0.000215443,NequIP,O(3),0.000500,0.000000
0.000215443,NequIP,SO(3),0.916333,0.000577
0.000316228,Allegro,O(3),0.000500,0.000000
0.000316228,Allegro,SO(3),0.916333,0.000289
0.000316228,EquiformerV2,SO(3),0.995833,0.000764
0.000316228,MACE,O(3),0.000500,0.000000
0.000316228,MACE,SO(3),0.916333,0.000289
0.000316228,NequIP,O(3),0.000500,0.000000
0.000316228,NequIP,SO(3),0.915667,0.000289
0.000464159,Allegro,O(3),0.000500,0.000000
0.000464159,Allegro,SO(3),0.916000,0.000500
0.000464159,EquiformerV2,SO(3),0.995167,0.001041
0.000464159,MACE,O(3),0.000500,0.000000
0.000464159,MACE,SO(3),0.916167,0.000289
0.000464159,NequIP,O(3),0.000167,0.000289
0.000464159,NequIP,SO(3),0.915667,0.000289
0.000681292,Allegro,O(3),0.000500,0.000000
0.000681292,Allegro,SO(3),0.915833,0.000289
0.000681292,EquiformerV2,SO(3),0.993667,0.001893
0.000681292,MACE,O(3),0.000500,0.000000
