core,arm,structure,seed,value
Allegro,O(3),mp-1209810,0,1.745501854425062e-07
Allegro,O(3),mp-694931,0,1.7823313403036503e-07
Allegro,O(3),mp-1111628,0,1.5771304988240237e-07
Allegro,O(3),mp-1188923,0,1.1686515091144687e-07
Allegro,O(3),mp-1182484,0,2.641352913900171e-07
Allegro,O(3),mp-11641,0,2.222276424572992e-07
Allegro,O(3),mp-677242,0,1.7004431928264074e-07
Allegro,O(3),mp-5767,0,4.804884254246311e-07
Allegro,O(3),mp-1213705,0,1.5567548757564948e-07
Allegro,O(3),mp-1227053,0,1.5005240395087189e-07
Allegro,O(3),mp-1174267,0,2.377072385399217e-07
Allegro,O(3),mp-766486,0,1.060625854985928e-07
Allegro,O(3),mp-754349,0,7.61697732415463e-08
Allegro,O(3),mp-1223924,0,7.58549450710835e-08
Allegro,O(3),mp-1025162,0,6.448895805349378e-08
Allegro,O(3),mp-19965,0,1.3244235325523887e-07
Allegro,O(3),mp-15567,0,1.910422049596853e-07
Allegro,O(3),mp-755225,0,2.1573970703843152e-07
Allegro,O(3),mp-7437,0,9.411123079492897e-08
Allegro,O(3),mp-755925,0,2.3123673446507327e-07
Allegro,O(3),mp-1209810,1,1.7661810476671126e-07
Allegro,O(3),mp-694931,1,1.9420474676163028e-07
Allegro,O(3),mp-1111628,1,2.3473156305921471e-07
Allegro,O(3),mp-1188923,1,1.2077464958214475e-07
Allegro,O(3),mp-1182484,1,3.4169421197818294e-07
Allegro,O(3),mp-11641,1,1.572912586561351e-07
Allegro,O(3),mp-677242,1,1.834749950154371e-07
Allegro,O(3),mp-5767,1,2.5492333461307433e-07
Allegro,O(3),mp-1213705,1,1.9114977114802285e-07
Allegro,O(3),mp-1227053,1,8.738918154371516e-08
Allegro,O(3),mp-1174267,1,1.1678007131534604e-07
Allegro,O(3),mp-766486,1,9.556039745158216e-08
Allegro,O(3),mp-754349,1,1.7735602667314844e-07
Allegro,O(3),mp-1223924,1,8.489224951864486e-08
Allegro,O(3),mp-1025162,1,1.0801417235200088e-07
Allegro,O(3),mp-19965,1,1.14813900068245e-07
Allegro,O(3),mp-15567,1,2.0416063576093686e-07
Allegro,O(3),mp-755225,1,2.6534104573665767e-07
Allegro,O(3),mp-7437,1,2.030445364078713e-07
Allegro,O(3),mp-755925,1,2.8046441143523006e-07
Allegro,O(3),mp-1209810,2,1.5767723762043083e-07
Allegro,O(3),mp-694931,2,1.809231115385254e-07
Allegro,O(3),mp-1111628,2,5.6200117729019845e-08
Allegro,O(3),mp-1188923,2,1.874851603171273e-07
Allegro,O(3),mp-1182484,2,1.2332490666929698e-07
Allegro,O(3),mp-11641,2,2.042590418867502e-07
