delta,arm,core,magnitude
0.0,O(3),Allegro,2.654605803324254e-07
0.0,SO(3),Allegro,0.2824733952681224
0.0,SO(3),EquiformerV2,0.09214488950081823
0.0,O(3),MACE,9.077038972312342e-07
0.0,SO(3),MACE,0.14143836374084154
0.0,O(3),NequIP,1.9352242001483924e-07
0.0,SO(3),NequIP,0.1440514319886764
0.001,O(3),Allegro,0.001034231410206606
0.001,SO(3),Allegro,0.2824755807717641
0.001,SO(3),EquiformerV2,0.0911704778245223
0.001,O(3),MACE,0.001900688201809923
0.001,SO(3),MACE,0.1414478694399198
0.001,O(3),NequIP,0.0010904042089047532
0.001,SO(3),NequIP,0.1440588477998972
0.0017492711874398425,O(3),Allegro,0.0018085728903921943
0.0017492711874398425,SO(3),Allegro,0.28247931599617004
0.0017492711874398425,SO(3),EquiformerV2,0.09138997364335955
0.0017492711874398425,O(3),MACE,0.003325589350424707
0.0017492711874398425,SO(3),MACE,0.1414668783545494
0.0017492711874398425,O(3),NequIP,0.0019075091695412993
0.0017492711874398425,SO(3),NequIP,0.14407384768128395
0.0030599496872071963,O(3),Allegro,0.0031631325061122575
0.0030599496872071963,SO(3),Allegro,0.2824912319580714
0.0030599496872071963,SO(3),EquiformerV2,0.09173343417880253
0.0030599496872071963,O(3),MACE,0.005814638376856844
0.0030599496872071963,SO(3),MACE,0.1415262222290039
0.0030599496872071963,O(3),NequIP,0.0033367543946951628
0.0030599496872071963,SO(3),NequIP,0.14411980658769608
0.005352681822847106,O(3),Allegro,0.00553358035782973
0.005352681822847106,SO(3),Allegro,0.28252757092316944
0.005352681822847106,SO(3),EquiformerV2,0.09273173668295354
0.005352681822847106,O(3),MACE,0.010174691832313934
0.005352681822847106,SO(3),MACE,0.14170638720194498
0.005352681822847106,O(3),NequIP,0.005836708005517721
0.005352681822847106,SO(3),NequIP,0.14425906663139662
0.009363292088239416,O(3),Allegro,0.009679917168493072
0.009363292088239416,SO(3),Allegro,0.2826387882232666
0.009363292088239416,SO(3),EquiformerV2,0.09459858410046305
0.009363292088239416,O(3),MACE,0.017800463518748682
0.009363292088239416,SO(3),MACE,0.1422558935980002
0.009363292088239416,O(3),NequIP,0.010210077899197737
0.009363292088239416,SO(3),NequIP,0.14467517534891763
0.016378937069540637,O(3),Allegro,0.016932169596354168
0.016378937069540637,SO(3),Allegro,0.2829786737759908
0.016378937069540637,SO(3),EquiformerV2,0.09852475771613027
0.016378937069540637,O(3),MACE,0.031134024262428284
0.016378937069540637,SO(3),MACE,0.14392014344533285
0.016378937069540637,O(3),NequIP,0.017859811894595623
0.016378937069540637,SO(3),NequIP,0.14586870186030865
0.028651202696637804,O(3),Allegro,0.02961554688711961
0.028651202696637804,SO(3),Allegro,0.28401464223861694
0.028651202696637804,SO(3),EquiformerV2,0.10975840490977391
0.028651202696637804,O(3),MACE,0.05445707216858864
0.028651202696637804,SO(3),MACE,0.14885705088575682
0.028651202696637804,O(3),NequIP,0.031240230426192284
0.028651202696637804,SO(3),NequIP,0.14902650316556296
0.05,O(3),Allegro,0.05166843657692274
0.05,SO(3),Allegro,0.28712989886601764
0.05,SO(3),EquiformerV2,0.13019873262731815
0.05,O(3),MACE,0.09500669563810031
0.05,SO(3),MACE,0.16272404789924622
0.05,O(3),NequIP,0.05450986325740814
0.05,SO(3),NequIP,0.15653176108996072
0.05011872336272722,O(3),Allegro,0.051791143914063774
0.05011872336272722,SO(3),Allegro,0.2871516098578771
0.05011872336272722,SO(3),EquiformerV2,0.13010266091233405
0.05011872336272722,O(3),MACE,0.09523342177271843
0.05011872336272722,SO(3),MACE,0.16281662260492644
0.05011872336272722,O(3),NequIP,0.05463947728276253
0.05011872336272722,SO(3),NequIP,0.15657862896720567
0.1,O(3),Allegro,0.10320381323496501
0.1,SO(3),Allegro,0.3004779169956843
0.1,SO(3),EquiformerV2,0.18929854074764815
0.1,O(3),MACE,0.18975927432378134
0.1,SO(3),MACE,0.21286232769489288
0.1,O(3),NequIP,0.10894615451494853
0.1,SO(3),NequIP,0.1797978679339091
0.15,O(3),Allegro,0.15447654947638512
0.15,SO(3),Allegro,0.3209921518961589
0.15,SO(3),EquiformerV2,0.24803037709108175
0.15,O(3),MACE,0.283994197845459
0.15,SO(3),MACE,0.27611106137434643
0.15,O(3),NequIP,0.16323440770308176
0.15,SO(3),NequIP,0.20839171608289084
0.2,O(3),Allegro,0.20536504685878754
0.2,SO(3),Allegro,0.34687380492687225
0.2,SO(3),EquiformerV2,0.3099306296324844
0.2,O(3),MACE,0.37746216853459674
0.2,SO(3),MACE,0.34521525104840595
0.2,O(3),NequIP,0.21730021138985953
0.2,SO(3),NequIP,0.24063800275325775
0.25,O(3),Allegro,0.2557532961169879
0.25,SO(3),Allegro,0.37647414207458496
0.25,SO(3),EquiformerV2,0.37107829483436666
