epoch,core,seed,false_flag
1,allegro,0,0.9045
2,allegro,0,0.8975
3,allegro,0,0.895
4,allegro,0,0.894
5,allegro,0,0.892
6,allegro,0,0.891
7,allegro,0,0.888
8,allegro,0,0.8855
9,allegro,0,0.882
10,allegro,0,0.8795
11,allegro,0,0.878
12,allegro,0,0.8775
13,allegro,0,0.8765
14,allegro,0,0.8745
15,allegro,0,0.873
16,allegro,0,0.872
17,allegro,0,0.872
18,allegro,0,0.8725
19,allegro,0,0.873
20,allegro,0,0.873
21,allegro,0,0.873
22,allegro,0,0.8755
23,allegro,0,0.878
24,allegro,0,0.878
25,allegro,0,0.88
26,allegro,0,0.8785
27,allegro,0,0.881
28,allegro,0,0.88
29,allegro,0,0.8805
30,allegro,0,0.879
31,allegro,0,0.8835
32,allegro,0,0.884
33,allegro,0,0.8825
34,allegro,0,0.8825
35,allegro,0,0.8845
36,allegro,0,0.887
37,allegro,0,0.887
38,allegro,0,0.884
39,allegro,0,0.8885
40,allegro,0,0.8895
41,allegro,0,0.891
42,allegro,0,0.8845
43,allegro,0,0.8935
44,allegro,0,0.8915
45,allegro,0,0.8945
46,allegro,0,0.8885
47,allegro,0,0.895
48,allegro,0,0.897
49,allegro,0,0.896
50,allegro,0,0.8965
51,allegro,0,0.8955
52,allegro,0,0.894
53,allegro,0,0.896
54,allegro,0,0.8995
55,allegro,0,0.8995
56,allegro,0,0.8955
57,allegro,0,0.903
58,allegro,0,0.9035
59,allegro,0,0.9015
60,allegro,0,0.9025
61,allegro,0,0.9005
62,allegro,0,0.903
63,allegro,0,0.8985
64,allegro,0,0.9015
65,allegro,0,0.9015
66,allegro,0,0.9035
67,allegro,0,0.904
68,allegro,0,0.904
69,allegro,0,0.901
70,allegro,0,0.901
71,allegro,0,0.902
72,allegro,0,0.9035
73,allegro,0,0.9035
74,allegro,0,0.9015
75,allegro,0,0.905
76,allegro,0,0.903
77,allegro,0,0.902
78,allegro,0,0.9045
79,allegro,0,0.906
80,allegro,0,0.9035
81,allegro,0,0.904
82,allegro,0,0.9045
83,allegro,0,0.9035
84,allegro,0,0.903
85,allegro,0,0.9
86,allegro,0,0.9015
87,allegro,0,0.9
88,allegro,0,0.9045
89,allegro,0,0.9045
90,allegro,0,0.903
91,allegro,0,0.901
92,allegro,0,0.9055
93,allegro,0,0.903
94,allegro,0,0.9055
95,allegro,0,0.9045
96,allegro,0,0.904
97,allegro,0,0.9045
98,allegro,0,0.9065
99,allegro,0,0.9025
100,allegro,0,0.9065
101,allegro,0,0.906
102,allegro,0,0.907
103,allegro,0,0.908
104,allegro,0,0.9055
105,allegro,0,0.907
106,allegro,0,0.9065
107,allegro,0,0.9065
108,allegro,0,0.9055
109,allegro,0,0.9045
110,allegro,0,0.909
111,allegro,0,0.9075
112,allegro,0,0.9065
113,allegro,0,0.9065
114,allegro,0,0.9065
115,allegro,0,0.909
116,allegro,0,0.909
117,allegro,0,0.9085
118,allegro,0,0.908
119,allegro,0,0.9075
120,allegro,0,0.906
121,allegro,0,0.9065
122,allegro,0,0.9095
123,allegro,0,0.9075
124,allegro,0,0.9095
125,allegro,0,0.9095
126,allegro,0,0.9075
127,allegro,0,0.9085
128,allegro,0,0.9085
129,allegro,0,0.9065
130,allegro,0,0.91
131,allegro,0,0.91
132,allegro,0,0.9095
133,allegro,0,0.9065
134,allegro,0,0.9085
135,allegro,0,0.908
136,allegro,0,0.9105
137,allegro,0,0.9085
138,allegro,0,0.9095
139,allegro,0,0.909
140,allegro,0,0.9085
141,allegro,0,0.9095
142,allegro,0,0.909
143,allegro,0,0.9095
144,allegro,0,0.909
145,allegro,0,0.9105
146,allegro,0,0.9075
147,allegro,0,0.909
148,allegro,0,0.909
149,allegro,0,0.9105
150,allegro,0,0.9095
1,allegro,1,0.897
2,allegro,1,0.8935
3,allegro,1,0.8885
4,allegro,1,0.884
5,allegro,1,0.882
6,allegro,1,0.879
7,allegro,1,0.874
8,allegro,1,0.8695
