arm,core,seed,batch_size,false_flag_fraction_mean_pooled,false_flag_fraction_summed,delta_F_mean_minus_sum,median_violation_mean_pooled_C_per_m2,median_violation_summed_C_per_m2
O(3),Allegro,0,16,0.0000,0.0000,+0.0000,1.98e-07,4.11e-07
O(3),Allegro,1,16,0.0000,0.0000,+0.0000,2.25e-07,3.79e-07
O(3),Allegro,2,16,0.0000,0.0000,+0.0000,2.27e-07,3.95e-07
O(3),MACE,0,16,0.0000,0.0000,+0.0000,1.39e-06,2.29e-06
O(3),MACE,1,16,0.0000,0.0000,+0.0000,1.15e-06,2.31e-06
O(3),MACE,2,16,0.0000,0.0000,+0.0000,1.36e-06,2.79e-06
O(3),NequIP,0,16,0.0000,0.0000,+0.0000,1.82e-07,2.54e-07
O(3),NequIP,1,16,0.0000,0.0000,+0.0000,1.66e-07,2.46e-07
O(3),NequIP,2,16,0.0000,0.0000,+0.0000,1.25e-07,2.29e-07
SO(3),Allegro,0,16,0.9030,0.8965,+0.0065,0.530,0.878
SO(3),Allegro,1,16,0.9035,0.8975,+0.0060,0.535,0.845
SO(3),Allegro,2,16,0.8990,0.9005,-0.0015,0.427,0.989
SO(3),EqV2,0,16,0.9295,0.9670,-0.0375,0.217,0.410
SO(3),EqV2,1,16,0.9185,0.9370,-0.0185,0.245,0.400
SO(3),EqV2,2,16,0.9375,0.9375,+0.0000,0.230,0.426
SO(3),MACE,0,8,0.8970,0.8985,-0.0015,0.400,0.721
SO(3),MACE,1,8,0.8970,0.8975,-0.0005,0.357,0.528
SO(3),MACE,2,8,0.8980,0.8975,+0.0005,0.460,0.716
SO(3),NequIP,0,8,0.8715,0.8880,-0.0165,0.198,0.683
SO(3),NequIP,1,8,0.8725,0.8880,-0.0155,0.217,0.504
SO(3),NequIP,2,8,0.8855,0.8855,+0.0000,0.265,0.430
