core,parity,variant,threshold,false_flag_mean,false_flag_std
nequip,o3,idealized,0.0001,0.000500,0.000000
nequip,o3,idealized,0.00014678,0.000500,0.000000
nequip,o3,idealized,0.000215443,0.000500,0.000000
nequip,o3,idealized,0.000316228,0.000500,0.000000
nequip,o3,idealized,0.000464159,0.000167,0.000289
nequip,o3,idealized,0.000681292,0.000000,0.000000
nequip,o3,idealized,0.001,0.000000,0.000000
nequip,o3,idealized,0.0014678,0.000000,0.000000
nequip,o3,idealized,0.00215443,0.000000,0.000000
nequip,o3,idealized,0.00316228,0.000000,0.000000
nequip,o3,idealized,0.00464159,0.000000,0.000000
nequip,o3,idealized,0.00681292,0.000000,0.000000
nequip,o3,idealized,0.01,0.000000,0.000000
nequip,o3,idealized,0.014678,0.000000,0.000000
nequip,o3,idealized,0.0215443,0.000000,0.000000
nequip,o3,idealized,0.0316228,0.000000,0.000000
nequip,o3,idealized,0.0464159,0.000000,0.000000
nequip,o3,idealized,0.0681292,0.000000,0.000000
nequip,o3,idealized,0.1,0.000000,0.000000
nequip,o3,idealized,0.14678,0.000000,0.000000
nequip,o3,idealized,0.215443,0.000000,0.000000
nequip,o3,idealized,0.316228,0.000000,0.000000
nequip,o3,idealized,0.464159,0.000000,0.000000
nequip,o3,idealized,0.681292,0.000000,0.000000
nequip,o3,idealized,1,0.000000,0.000000
nequip,o3,raw,0.0001,0.024500,0.002291
nequip,o3,raw,0.00014678,0.021167,0.001041
nequip,o3,raw,0.000215443,0.018667,0.001041
nequip,o3,raw,0.000316228,0.016000,0.000866
nequip,o3,raw,0.000464159,0.012167,0.000289
nequip,o3,raw,0.000681292,0.009167,0.001155
nequip,o3,raw,0.001,0.007500,0.000500
nequip,o3,raw,0.0014678,0.005167,0.001528
nequip,o3,raw,0.00215443,0.003333,0.001258
nequip,o3,raw,0.00316228,0.001500,0.000500
nequip,o3,raw,0.00464159,0.000667,0.000289
nequip,o3,raw,0.00681292,0.000333,0.000289
nequip,o3,raw,0.01,0.000167,0.000289
